DEPTH AC GR PERM POR RT SH SP SPC SW
1200.000 252.451 101.181 0.010 0.100 20.396 61.260 80.228 -57.718 99.900 
1200.125 253.417 101.360 0.010 0.100 20.377 61.568 80.328 -57.619 99.900 
1200.250 252.306 103.482 0.010 0.100 20.239 65.315 80.439 -57.509 99.900 
1200.375 249.811 106.785 0.010 0.100 19.964 71.441 80.586 -57.363 99.900 
1200.500 246.802 108.989 0.010 0.100 19.532 75.738 80.748 -57.203 99.900 
1200.625 245.658 111.329 0.010 0.100 18.947 80.494 80.924 -57.027 99.900 
1200.750 250.387 113.173 0.010 0.100 18.269 84.388 81.142 -56.811 99.900 
1200.875 261.708 114.867 0.010 0.100 17.504 88.082 81.366 -56.588 99.900 
1201.000 273.813 119.449 0.010 0.100 16.716 98.666 81.580 -56.375 99.900 
1201.125 278.448 123.412 0.010 0.100 15.965 99.900 81.787 -56.169 99.900 
1201.250 276.026 125.856 0.010 0.100 15.298 99.900 81.957 -56.000 99.900 
1201.375 275.368 125.427 0.010 0.100 14.742 99.900 82.073 -55.885 99.900 
1201.500 281.036 122.932 0.010 0.100 14.248 99.900 82.136 -55.824 99.900 
1201.625 285.759 120.904 0.010 0.100 13.816 99.900 82.127 -55.834 99.900 
1201.750 279.708 119.267 0.010 0.100 13.476 98.230 82.029 -55.932 99.900 
1201.875 264.982 117.412 0.010 0.100 13.257 93.852 81.874 -56.088 99.900 
1202.000 256.459 115.229 0.010 0.100 13.142 88.888 81.684 -56.280 99.900 
1202.125 261.293 112.403 0.010 0.100 13.134 82.747 81.451 -56.514 99.900 
1202.250 270.579 108.911 0.010 0.100 13.249 75.584 81.201 -56.765 99.900 
1202.375 270.577 105.834 0.010 0.100 13.452 69.638 80.947 -57.020 99.900 
1202.500 263.566 105.501 0.010 0.100 13.728 69.014 80.692 -57.277 99.900 
1202.625 264.069 104.822 0.010 0.100 14.095 67.756 80.447 -57.522 99.900 
1202.750 271.952 102.258 0.010 0.100 14.531 63.135 80.224 -57.746 99.900 
1202.875 274.292 98.480 0.010 0.100 14.981 56.712 80.011 -57.961 99.900 
1203.000 262.683 96.437 0.010 0.100 15.399 53.418 79.809 -58.164 99.900 
1203.125 247.994 96.210 0.010 0.100 15.794 53.059 79.655 -58.319 99.900 
1203.250 241.438 97.049 0.010 0.100 16.180 54.392 79.537 -58.438 99.900 
1203.375 245.112 98.309 0.010 0.100 16.557 56.432 79.454 -58.522 99.900 
1203.500 252.783 97.266 0.010 0.100 16.856 54.739 79.420 -58.557 99.900 
1203.625 256.181 94.530 0.010 0.100 17.008 50.453 79.417 -58.562 99.900 
1203.750 253.798 92.738 0.010 0.100 17.018 47.758 79.448 -58.531 99.900 
1203.875 248.492 92.370 0.010 0.100 16.930 47.216 79.522 -58.459 99.900 
1204.000 245.597 90.911 0.010 0.100 16.762 45.100 79.599 -58.383 99.900 
1204.125 245.730 88.569 0.010 0.100 16.494 41.819 79.688 -58.295 99.900 
1204.250 244.069 86.796 0.010 0.100 16.173 39.429 79.810 -58.174 99.900 
1204.375 236.226 86.557 0.010 0.100 15.884 39.111 79.957 -58.028 99.900 
1204.500 235.336 88.080 0.010 0.100 15.680 41.153 80.129 -57.857 99.900 
1204.625 255.955 90.187 0.010 0.100 15.553 44.071 80.323 -57.664 99.900 
1204.750 290.176 93.668 0.010 0.100 15.449 49.145 80.521 -57.467 99.900 
1204.875 312.181 98.589 0.010 0.100 15.355 56.891 80.704 -57.285 99.900 
1205.000 300.637 103.190 0.010 0.100 15.306 64.790 80.871 -57.120 99.900 
1205.125 273.961 107.192 0.010 0.100 15.359 72.221 81.003 -56.989 99.900 
1205.250 254.503 111.037 0.010 0.100 15.581 79.891 81.092 -56.901 99.900 
1205.375 253.257 113.570 0.010 0.100 16.148 85.244 81.160 -56.834 99.900 
1205.500 264.360 114.480 0.010 0.100 17.335 87.228 81.189 -56.806 99.900 
1205.625 270.548 113.979 0.010 0.100 19.421 86.131 81.185 -56.811 99.900 
1205.750 270.420 110.827 0.010 0.100 22.786 79.458 81.169 -56.829 99.900 
1205.875 277.955 105.430 0.010 0.100 28.035 68.882 81.142 -56.857 99.900 
