¾®Ãû,DEPTH,GR,RT,AC,SP,POR,PERM,SW,SSR,SH,CJWX2,CJWX,CJWX1,,,,,,,,
ÂÞ¼ì36-361,1639.625,131.166,13.999,230.55,53.076,0.1,0.01,99.9,0,84.632,1,1.130672972,0.005732302,,,,,,,,
ÂÞ¼ì36-361,1639.75,129.675,12.229,231.935,51.965,0.1,0.01,99.9,0,82.219,1,1.061602653,0.005732302,,,,,,,,
ÂÞ¼ì36-361,1639.875,125.511,10.906,233.033,50.78,0.1,0.01,99.9,0,75.737,1,1.033401063,0.005732302,,,,,,,,
ÂÞ¼ì36-361,1640,122.217,10.259,233.36,49.536,12.319,3.9861,60.139,1,33.963,2,1.348098157,0.706162224,,,,,,,,
ÂÞ¼ì36-361,1640.125,113.708,10.025,233.156,48.259,12.291,3.9043,60.957,1,28.091,2,2.152771894,0.70455718,,,,,,,,
ÂÞ¼ì36-361,1640.25,104.288,10.011,233.449,47.002,12.331,3.9169,60.831,1,22.427,2,2.432874224,0.7068501,,,,,,,,
ÂÞ¼ì36-361,1640.375,99.043,10.221,234.74,45.822,12.509,4.0522,59.478,1,19.696,2,1.211740938,0.717053597,,,,,,,,
ÂÞ¼ì36-361,1640.5,94.903,10.709,236.89,44.769,12.806,4.3032,56.968,1,17.778,2,1.624747079,0.734078533,,,,,,,,
ÂÞ¼ì36-361,1640.625,91.846,11.454,239.706,43.871,13.194,4.6288,53.712,1,16.535,2,2.366188148,0.756319862,,,,,,,,
ÂÞ¼ì36-361,1640.75,94.291,12.263,242.703,43.166,13.608,4.9425,50.575,1,18.01,2,1.239256008,0.780051591,,,,,,,,
ÂÞ¼ì36-361,1640.875,101.785,12.831,245.249,42.609,13.959,5.1609,48.391,1,22.245,2,2.556682623,0.800171969,,,,,,,,
ÂÞ¼ì36-361,1641,110.096,13.025,246.692,42.177,14.159,5.2542,47.458,1,27.379,2,2.137233983,0.811636572,,,,,,,,
ÂÞ¼ì36-361,1641.125,113.528,12.951,246.934,41.849,14.192,5.2502,47.498,1,29.645,2,2.075379469,0.813528232,,,,,,,,
ÂÞ¼ì36-361,1641.25,114.824,12.824,246.645,41.628,14.152,5.2154,47.846,1,30.483,2,2.151078403,0.811235311,,,,,,,,
ÂÞ¼ì36-361,1641.375,114.068,12.616,245.784,41.5,14.033,5.1416,48.584,1,29.865,2,1.710562173,0.804413872,,,,,,,,
ÂÞ¼ì36-361,1641.5,107.852,12.199,244.128,41.466,13.805,4.9904,50.096,1,25.684,2,2.210819151,0.791344225,,,,,,,,
ÂÞ¼ì36-361,1641.625,96.373,11.757,242.054,41.518,13.518,4.806,51.94,1,19.009,2,2.369167891,0.774892519,,,,,,,,
ÂÞ¼ì36-361,1641.75,87.744,11.559,240.764,41.639,13.34,4.7028,52.972,1,14.708,2,2.547536365,0.764689023,,,,,,,,
ÂÞ¼ì36-361,1641.875,85.542,11.725,240.842,41.785,13.351,4.744,52.56,1,13.728,2,1.366055179,0.765319576,,,,,,,,
ÂÞ¼ì36-361,1642,89.79,11.974,242.274,41.94,13.549,4.863,51.37,1,15.783,2,1.503556376,0.776669533,,,,,,,,
ÂÞ¼ì36-361,1642.125,93.061,12.072,244.597,42.101,13.869,4.9838,50.162,1,17.57,2,2.013357063,0.795012898,,,,,,,,
ÂÞ¼ì36-361,1642.25,94.621,11.923,246.829,42.283,14.177,5.0453,49.547,1,18.562,2,2.10048306,0.812668386,,,,,,,,
ÂÞ¼ì36-361,1642.375,96.163,11.602,248.277,42.477,14.377,5.0364,49.636,1,19.497,2,1.110552278,0.824132989,,,,,,,,
ÂÞ¼ì36-361,1642.5,97.543,11.079,248.55,42.666,14.415,4.9316,50.684,1,20.254,2,1.981154389,0.826311264,,,,,,,,
ÂÞ¼ì36-361,1642.625,95.449,10.675,247.839,42.836,14.317,4.8069,51.931,1,19.084,2,1.460747863,0.820693608,,,,,,,,
ÂÞ¼ì36-361,1642.75,89.856,10.272,247.107,43,14.216,4.6742,53.258,1,16.238,2,1.562524499,0.814903984,,,,,,,,
