GR,SP,RT,AC,SH,POR,PERM,SW,DEPTH,AC_line_3,AC_line_4,AC_line_5,AC_point_3,AC_point_4,AC_point_5,C_3_MASK,C_4_MASK,C_5_MASK,R_3_MASK,R_4_MASK,R_5_MASK
0.336855602,0.4306651,0.317152022,0.298820204,0.428345763,0,0,1,0,0.298820204,0.298820204,0.298820204,0.298820204,0.298820204,0.298820204,0,0,0,0,0,0
0.32322424,0.422526151,0.309221327,0.2876613,0.409389843,0,0,1,0.001669449,0.2876613,0.2876613,0.2876613,0.2876613,0.2876613,0.2876613,0,0,0,0,0,0
0.310802332,0.412261565,0.300204582,0.277387243,0.188538331,0.342855245,0,1,0.003338898,0.277387243,0.277387243,0.277387243,0.277387243,0.277387243,0.277387243,0,0,0,0,0,0
0.315058154,0.3918163,0.287853914,0.277854246,0.238238518,0.377001262,0,1,0.005008347,0.277854246,0.277854246,0.277854246,0.277854246,0.277854246,0.277854246,0,0,0,0,0,0
0.380859712,0.373972143,0.258909403,0.295846135,0.272217327,0.413140238,0,0.932240997,0.006677796,0.295846135,0.295846135,0.295846135,0.295846135,0.295846135,0.295846135,0,0,0,0,0,0
0.420089663,0.360351289,0.231480312,0.323350129,0.302338327,0.427223809,0,0.926622859,0.008347245,0.323350129,0.323350129,0.323350129,0.323350129,0.323350129,0.323350129,0,0,0,0,0,0
0.450216883,0.346478716,0.209708787,0.356531891,0.315330224,0.429150335,0,0.953433464,0.010016694,0.356531891,0.356531891,0.356531891,0.356531891,0.356531891,0.356531891,0,0,0,0,0,0
0.453517874,0.322453432,0.188492915,0.422059727,0.336875927,0.41559822,0,1,0.011686144,0.422059727,0.422059727,0.422059727,0.422059727,0.422059727,0.422059727,0,0,0,0,0,0
0.47035929,0.301644571,0.156694365,0.456408996,0.359077135,0.401448216,0,1,0.013355593,0.456408996,0.456408996,0.456408996,0.456408996,0.456408996,0.456408996,0,0,0,0,0,0
0.48913765,0.284751356,0.132397141,0.478665356,0.375830127,0.406098452,0,1,0.015025042,0.478665356,0.478665356,0.478665356,0.478665356,0.478665356,0.478665356,0,0,0,0,0,0
0.504851455,0.266571572,0.117141919,0.487796485,0.359442498,0.424566532,0,1,0.016694491,0.487796485,0.487796485,0.487796485,0.487796485,,0.487796485,0,0,0,0,1,0
0.492238581,0.234295463,0.104008284,0.469620253,0.26985321,0.466152926,0,1,0.01836394,0.469620253,0.469620253,0.469620253,0.469620253,,0.469620253,0,0,0,0,1,0
0.397473788,0.20696985,0.088146895,0.452181394,0.227159406,0.513319604,0,0.933137054,0.020033389,0.452181394,0.452181394,0.452181394,0.452181394,,0.452181394,0,0,0,0,1,0
0.348195368,0.187111932,0.078220898,0.440113064,0.197102882,0.54195177,0,0.882957843,0.021702838,0.440113064,0.440113064,0.440113064,0.440113064,0.440113064,0.440113064,0,0,0,0,0,0
0.309411005,0.168484645,0.074205036,0.437089837,0.18471276,0.568125955,0,0.831783012,0.023372287,0.437089837,0.437089837,0.437089837,,0.437089837,,0,0,0,1,0,1
0.291842098,0.14398389,0.072260248,0.444426693,0.17823293,0.592107885,0,0.785529385,0.025041736,0.444426693,0.444426693,0.444426693,,0.444426693,,0,0,0,1,0,1
0.282784835,0.128349276,0.074381835,0.449416247,0.177298029,0.602936292,0,0.759870854,0.026711185,0.449416247,0.449416247,0.449416247,,0.449416247,,0,0,0,1,0,1
0.281729974,0.122419869,0.079357462,0.450706649,0.176911174,0.590579951,0,0.774662912,0.028380634,0.450706649,0.450706649,0.450706649,,0.450706649,,0,0,0,1,0,1
0.280702393,0.120490015,0.086202106,0.449797223,0.183799351,0.569720322,0,0.804346589,0.030050083,0.449797223,0.449797223,0.449797223,,0.449797223,0.449797223,0,0,0,1,0,0
0.290987296,0.125496448,0.095042053,0.442263734,0.229491285,0.5357736,0,0.863244581,0.031719533,0.442263734,0.442263734,0.442263734,,0.442263734,0.442263734,0,0,0,1,0,0
0.352596688,0.132488673,0.113100801,0.438761214,0.263287412,0.504550588,0,0.905416169,0.033388982,0.438761214,0.438761214,0.438761214,0.438761214,0.438761214,0.438761214,0,0,0,0,0,0
0.39425464,0.138781675,0.129568358,0.435848593,0.298630961,0.493124294,0,0.90437788,0.035058431,0.435848593,0.435848593,0.435848593,0.435848593,0.435848593,0.435848593,0,0,0,0,0,0
0.436167214,0.145102646,0.141843255,0.431829913,0.309710073,0.485949645,0,0.901362576,0.03672788,0.431829913,0.431829913,0.431829913,0.431829913,0.431829913,0.431829913,0,0,0,0,0,0
0.450580629,0.155507076,0.153486727,0.419110237,0.295955211,0.476117717,0,0.907549639,0.038397329,0.419110237,0.419110237,0.419110237,0.419110237,0.419110237,0.419110237,0,0,0,0,0,0
